id,latitude,longitude,place_name,county,alternate_name,distance_to_london,number_mps,silver_street,location_uncertain,reference
http://data.ordnancesurvey.co.uk/id/4000000074558834,50.6841,-4.6911,Boscastle,Cornwall,,230,,,,https://www.cornwall.gov.uk/media/3638371/Boscastle-CAA-endorsed-2008.pdf
http://data.ordnancesurvey.co.uk/id/4000000074556298,50.6225,-4.6793,Camelford,Cornwall,,228,2,,,http://www.historic-cornwall.org.uk/csus/towns/camelford/csus_camelford_report_2005R074.pdf
http://data.ordnancesurvey.co.uk/id/4000000074557789,50.503,-4.316,Collington,Cornwall,Callington,215,2,,,http://www.historic-cornwall.org.uk/cisi/callington/CISI_callington_report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074558085,50.353,-4.4535,East Looe,Cornwall,,231,2,,,http://www.historic-cornwall.org.uk/cisi/looe/CISI_Looe_report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074573892,50.1554,-5.0722,Falmouth,Cornwall,,269,,,,http://www.historic-cornwall.org.uk/csus/towns/falmouth/csus_falmouth_report_2005R003.pdf
http://data.ordnancesurvey.co.uk/id/4000000074560000,50.3353,-4.6345,Fowey,Cornwall,,240,2,,,https://www.cornwall.gov.uk/media/3638516/Fowey-CAA-March-2010.pdf
http://data.ordnancesurvey.co.uk/id/4000000074577042,50.298,-4.8998,Grampound,Cornwall,,260,2,,,https://www.cornwall.gov.uk/media/3638517/Grampound-CAA-March-2010.pdf
http://data.ordnancesurvey.co.uk/id/4000000074542937,50.1011,-5.2754,Helston,Cornwall,,276,2,,,
http://data.ordnancesurvey.co.uk/id/4000000074558148,50.637,-4.3601,Launceston,Cornwall,,213,2,,,http://www.historic-cornwall.org.uk/csus/towns/launceston/csus_launceston_report_2005R051.pdf
http://data.ordnancesurvey.co.uk/id/4000000074555937,50.4548,-4.4636,Liskeard,Cornwall,,222,2,,,http://www.historic-cornwall.org.uk/csus/towns/liskeard/csus_liskeard_report_2005R049.pdf
http://data.ordnancesurvey.co.uk/id/4000000074555930,50.4074,-4.6706,Lostwithell,Cornwall,Lostwithiel,246,2,,,https://www.lostwithiel.org.uk/characterisation.pdf
http://data.ordnancesurvey.co.uk/id/4000000074578205,50.1235,-5.4727,Marketjew,Cornwall,Marazion,278,,,,https://www.cornwall.gov.uk/media/3638435/Marazion-CAA-March-2010.pdf
http://data.ordnancesurvey.co.uk/id/4000000074577057,50.5413,-4.9389,Padstow,Cornwall,,243,,,,
http://data.ordnancesurvey.co.uk/id/4000000074575363,50.1681,-5.1029,Penryn,Cornwall,,266,2,,,http://www.historic-cornwall.org.uk/csus/towns/penryn/csus_penryn_report_2005R070.pdf
http://data.ordnancesurvey.co.uk/id/4000000074577281,50.1186,-5.5372,Penzance,Cornwall,,281,,,,http://www.historic-cornwall.org.uk/csus/towns/penzance/csus_penzance_report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074575949,50.2334,-5.2278,Redruth,Cornwall,,263,,,,http://www.historic-cornwall.org.uk/csus/towns/redruth/CSUS_Redruth_Report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074559660,50.4084,-4.2096,Saltash,Cornwall,,220,2,,,http://www.historic-cornwall.org.uk/csus/towns/saltash/csus_saltash_report_2005R073.pdf
http://data.ordnancesurvey.co.uk/id/4000000074558440,50.3386,-4.792,St Austle,Cornwall,St. Austell,254,,,,http://www.historic-cornwall.org.uk/csus/towns/staustell/csus_st_austell_report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074575958,50.2126,-5.4804,St Ives,Cornwall,,276,2,,,
http://data.ordnancesurvey.co.uk/id/4000000074575385,50.4353,-4.9399,St. Columb,Cornwall,St. Columb Major,251,,,,
http://data.ordnancesurvey.co.uk/id/4000000074559664,50.3962,-4.3098,St. Germans,Cornwall,,227,2,,1,
http://data.ordnancesurvey.co.uk/id/4000000074577439,50.8305,-4.5139,Stratton,Cornwall,,221,,,1,https://www.cornwall.gov.uk/media/3638419/Stratton-CAA-March-2010-Part1.pdf
http://data.ordnancesurvey.co.uk/id/4000000074576790,50.2677,-4.9126,Tregony,Cornwall,,262,2,,1,
http://data.ordnancesurvey.co.uk/id/4000000074574269,50.2633,-5.0519,Truro,Cornwall,,255,2,,,http://www.historic-cornwall.org.uk/csus/towns/truro/csus_truro_report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074575689,50.5159,-4.8361,Wadebridge,Cornwall,,239,,,,https://map.cornwall.gov.uk/reports_conservation_areas/Wadebridge.pdf
http://data.ordnancesurvey.co.uk/id/4000000074558086,50.3529,-4.4562,West Looe,Cornwall,,231,2,,1,http://www.historic-cornwall.org.uk/cisi/looe/CISI_Looe_report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074547819,54.8126,-2.439,Alston Moor,Cumberland,Alston,305,,,,
http://data.ordnancesurvey.co.uk/id/4000000074560597,54.283,-3.3731,Bootle,Cumberland,,278,,,1,
http://data.ordnancesurvey.co.uk/id/4000000074546108,54.9422,-2.7342,Brampton,Cumberland,,315,,,,
http://data.ordnancesurvey.co.uk/id/4000000074551822,54.8945,-2.9357,Carlisle,Cumberland,,302,2,,,
http://data.ordnancesurvey.co.uk/id/4000000074548803,54.6642,-3.3614,Cockermouth,Cumberland,,303,2,,,
http://data.ordnancesurvey.co.uk/id/4000000074548049,54.4811,-3.5288,Egremont,Cumberland,,289,,,,
http://data.ordnancesurvey.co.uk/id/4000000074551429,54.7378,-3.1846,Ireby,Cumberland,,303,,,1,
http://data.ordnancesurvey.co.uk/id/4000000074546080,54.6008,-3.1373,Keswick,Cumberland,,291,,,,
http://data.ordnancesurvey.co.uk/id/4000000074548013,54.7638,-2.6931,Kirkoswald,Cumberland,,292,,,,
http://data.ordnancesurvey.co.uk/id/4000000074550709,55.0088,-2.972,Longtown,Cumberland,,311,,,1,
http://data.ordnancesurvey.co.uk/id/4000000074544630,54.6639,-2.7523,Penrith,Cumberland,,282,,,,
http://data.ordnancesurvey.co.uk/id/4000000074560827,54.354,-3.4108,Ravenglass,Cumberland,,277,,,1,
http://data.ordnancesurvey.co.uk/id/4000000074566334,54.5474,-3.591,Whitehaven,Cumberland,,294,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-319-1/dissemination/pdf/Copeland/Assessment/Whitehaven_assessment_report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074553317,54.8247,-3.1613,Wigton,Cumberland,,304,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-319-1/dissemination/pdf/Allerdale/Assessment/Wigton_assessment_report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074563764,54.6423,-3.5422,Workington,Cumberland,,311,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-319-1/dissemination/pdf/Allerdale/Assessment/Workington_assessment_report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074548313,53.0974,-1.3905,Alfreton,Derbyshire,,140,,,,
http://data.ordnancesurvey.co.uk/id/4000000074552767,53.0182,-1.7327,Ashborne,Derbyshire,Ashbourne,139,,,,
http://data.ordnancesurvey.co.uk/id/4000000074544353,53.2131,-1.6756,Bakewell,Derbyshire,,152,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-881-1/dissemination/pdf/EUS_Texts/Bakewell/Bakewell.pdf
http://data.ordnancesurvey.co.uk/id/4000000074552024,53.2293,-1.2924,Balsover,Derbyshire,Bolsover,146,,,,
http://data.ordnancesurvey.co.uk/id/4000000074554732,53.3232,-1.9159,Chapel-en-le-Firth,Derbyshire,Chapel-in-le-Frith,167,,,,
http://data.ordnancesurvey.co.uk/id/4000000074572064,53.2355,-1.4287,Chesterfield,Derbyshire,,150,,,,
http://data.ordnancesurvey.co.uk/id/4000000074550123,52.9233,-1.4765,Derby,Derbyshire,,126,2,,,
http://data.ordnancesurvey.co.uk/id/4000000074573073,53.3021,-1.4752,Dronfield,Derbyshire,,157,,,,http://www.dronfieldcivicsociety.org.uk/Dronfield_Character_Statement_1.pdf
http://data.ordnancesurvey.co.uk/id/4000000074549811,53.1276,-1.4184,Higham,Derbyshire,,143,,,1,
http://data.ordnancesurvey.co.uk/id/4000000074542767,53.2799,-1.7745,Tidswell,Derbyshire,Tideswell,160,,,,
http://data.ordnancesurvey.co.uk/id/4000000074546264,53.1416,-1.6403,Winster,Derbyshire,,152,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-881-1/dissemination/pdf/EUS_Texts/Winster/Winster.pdf
http://data.ordnancesurvey.co.uk/id/4000000074551634,53.0822,-1.574,Wirksworth,Derbyshire,,139,,,,
http://data.ordnancesurvey.co.uk/id/4000000074558780,50.5155,-3.756,Ashburton,Devonshire,,191,2,,,http://www.dartmoor.gov.uk/__data/assets/pdf_file/0004/863968/1Ashburton-web-quality.pdf
http://data.ordnancesurvey.co.uk/id/4000000074541241,50.7828,-2.9984,Axminster,Devonshire,,147,,,,
http://data.ordnancesurvey.co.uk/id/4000000074576874,50.9905,-3.4873,Bampton,Devonshire,,164,,0.75,,https://www.middevon.gov.uk/media/114964/bampton-conservation-area-appraisal-text.pdf
http://data.ordnancesurvey.co.uk/id/4000000074574137,51.0806,-4.0593,Barnstaple,Devonshire,,195,2,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2733-1/dissemination/pdf/towns/Barnstaple_EUS_Report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074577244,51.0169,-4.2073,Bideford,Devonshire,,204,,1,,
http://data.ordnancesurvey.co.uk/id/4000000074577345,50.801,-3.815,Bow,Devonshire,,188,,,1,
http://data.ordnancesurvey.co.uk/id/4000000074555844,50.6049,-3.6044,Chudleigh,Devonshire,,182,,,,https://www.teignbridge.gov.uk/media/4389/chudleigh_draft_appraisal_22_july_2011_web.pdf
http://data.ordnancesurvey.co.uk/id/4000000074574391,50.9126,-3.869,Chumley,Devonshire,Chulmleigh,194,,,1,
http://data.ordnancesurvey.co.uk/id/4000000074555484,50.7907,-3.6604,Crediton,Devonshire,,180,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2733-1/dissemination/pdf/towns/Crediton_EUS_Report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074553816,50.7408,-3.0702,Culliton,Devonshire,Colyton,150,,,,
http://data.ordnancesurvey.co.uk/id/4000000074574773,50.8581,-3.3935,Cullompton,Devonshire,,165,,,,https://www.middevon.gov.uk/media/114974/cullompton_conservation_appraisal-september-2003.pdf
http://data.ordnancesurvey.co.uk/id/4000000074547034,50.2844,-3.776,Dodbrook,Devonshire,Dodbrooke,219,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2733-1/dissemination/pdf/towns/Kingsbridge_EUS_Report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074556577,50.722,-3.5334,Exeter,Devonshire,,172,2,,,https://drive.google.com/file/d/0B4CpCORtOQdTT0NjbjFBRGVzdHc/view
http://data.ordnancesurvey.co.uk/id/4000000074575637,50.9926,-4.4822,Hartland,Devonshire,,217,,,,
http://data.ordnancesurvey.co.uk/id/4000000074574121,50.8218,-4.0721,Hatherleigh,Devonshire,,200,,,,
http://data.ordnancesurvey.co.uk/id/4000000074577027,50.81,-4.3532,Holdsworthy,Devonshire,Holsworthy,214,,,,
http://data.ordnancesurvey.co.uk/id/4000000074575853,50.7995,-3.1895,Honiton,Devonshire,,152,2,1,,
http://data.ordnancesurvey.co.uk/id/4000000074546737,50.2862,-3.7779,Kingsbridge,Devonshire,,207,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2733-1/dissemination/pdf/towns/Kingsbridge_EUS_Report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074559504,50.3491,-3.8869,Modbury,Devonshire,,207,,,1,
http://data.ordnancesurvey.co.uk/id/4000000074556221,50.661,-3.7649,Moreton-Hampstead,Devonshire,Moretonhampstead,184,,,,http://www.dartmoor.gov.uk/__data/assets/pdf_file/0011/987473/Moreton-R6-2.compressed.pdf
http://data.ordnancesurvey.co.uk/id/4000000074558404,50.5295,-3.6123,Newton-Abbot,Devonshire,Newton Abbot,187,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2733-1/dissemination/pdf/towns/Newton_Abbot_EUS_Report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074555488,50.739,-4.0033,Oakhampton,Devonshire,Okehampton,195,2,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2733-1/dissemination/pdf/towns/Okehampton_EUS_Report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074549317,50.7524,-3.2789,Ottery St. Marys,Devonshire,Ottery St. Mary,164,,1,,
http://data.ordnancesurvey.co.uk/id/4000000074555542,50.3717,-4.1397,Plymouth,Devonshire,,217,2,,,
http://data.ordnancesurvey.co.uk/id/4000000074555099,50.383,-4.0494,Plympton,Devonshire,,211,1,,1,
http://data.ordnancesurvey.co.uk/id/4000000074576044,51.0177,-3.8344,South Moulton,Devonshire,South Molton,179,,,,http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-2733-1/dissemination/pdf/towns/South_Molton_EUS_Report.pdf
http://data.ordnancesurvey.co.uk/id/4000000074558456,50.5503,-4.1464,Tavistock,Devonshire,,205,2,,,
http://data.ordnancesurvey.co.uk/id/4000000074575849,50.8266,-2.8862,Thorncomb,Devonshire,Thorncombe,138,,,,http://www.thorncombe-village-trust.co.uk/page75.html
http://data.ordnancesurvey.co.uk/id/4000000074576320,50.9031,-3.4863,Tiverton,Devonshire,,165,2,,,http://archaeologydataservice.ac.uk/catalogue/adsdata/arch-2733-1/dissemination/pdf/towns/Tiverton_EUS_Report.pdf
